id	Name	Joined	boolean1	boolean2	boolean3	boolean4	boolean5	address	decimal
1	Dave 1	06/02/2023	TRUE	FALSE	TRUE	FALSE	TRUE	Guildford	1.23
2	Dave 2	06/02/2023	TRUE	TRUE	FALSE	TRUE	FALSE	Hindhead	4.56
3	Dave 3	15/06/2021	FALSE	FALSE	TRUE	FALSE	TRUE	Guildford	7.89
4	Dave 4	08/01/2020	FALSE	TRUE	FALSE	TRUE	FALSE	Hindhead	11.22
5	Dave 5	24/01/2022	TRUE	FALSE	TRUE	FALSE	TRUE	Guildford	14.55
6	Dave 6	28/07/2021	FALSE	TRUE	FALSE	TRUE	FALSE	Hindhead	17.88
7	Dave 7	29/07/2021	TRUE	FALSE	TRUE	FALSE	TRUE	Guildford	21.21
8	Dave 8	30/07/2021	FALSE	TRUE	FALSE	TRUE	FALSE	Hindhead	24.54
9	Dave 9	31/07/2021	TRUE	FALSE	TRUE	FALSE	TRUE	Guildford	27.87
10	Dave 10	01/08/2021	FALSE	TRUE	FALSE	TRUE	FALSE	Hindhead	31.2
11	Dave 11	02/08/2021	TRUE	FALSE	TRUE	FALSE	TRUE	Guildford	34.53
12	Dave 12	03/08/2021	FALSE	TRUE	FALSE	TRUE	FALSE	Hindhead	37.86
13	Dave 13	04/08/2021	TRUE	FALSE	TRUE	FALSE	TRUE	Guildford	41.19
14	Dave 14	05/08/2021	FALSE	TRUE	FALSE	TRUE	FALSE	Hindhead	44.52
15	Dave 15	06/08/2021	TRUE	FALSE	TRUE	FALSE	TRUE	Guildford	47.85
16	Dave 16	07/08/2021	FALSE	TRUE	FALSE	TRUE	FALSE	Hindhead	51.18
17	Dave 17	08/08/2021	TRUE	FALSE	TRUE	FALSE	TRUE	Guildford	54.51
18	Dave 18	09/08/2021	FALSE	TRUE	FALSE	TRUE	FALSE	Hindhead	57.84
19	Dave 19	10/08/2021	TRUE	FALSE	TRUE	FALSE	TRUE	Guildford	61.17
20	Dave 20	11/08/2021	FALSE	TRUE	FALSE	TRUE	FALSE	Hindhead	64.5
21	Dave 21	12/08/2021	TRUE	FALSE	TRUE	FALSE	TRUE	Guildford	67.83
22	Dave 22	13/08/2021	FALSE	TRUE	FALSE	TRUE	FALSE	Hindhead	71.16
23	Dave 23	14/08/2021	TRUE	FALSE	TRUE	FALSE	TRUE	Guildford	74.49
24	Dave 24	15/08/2021	FALSE	TRUE	FALSE	TRUE	FALSE	Hindhead	77.82
25	Dave 25	16/08/2021	TRUE	FALSE	TRUE	FALSE	TRUE	Guildford	81.15
26	Dave 26	17/08/2021	FALSE	TRUE	FALSE	TRUE	FALSE	Hindhead	84.48
27	Dave 27	18/08/2021	TRUE	FALSE	TRUE	FALSE	TRUE	Guildford	87.81
28	Dave 28	19/08/2021	FALSE	TRUE	FALSE	TRUE	FALSE	Hindhead	91.14
29	Dave 29	20/08/2021	TRUE	FALSE	TRUE	FALSE	TRUE	Guildford	94.47
30	Dave 30	21/08/2021	FALSE	TRUE	FALSE	TRUE	FALSE	Hindhead	97.8
31	Dave 31	22/08/2021	TRUE	FALSE	TRUE	FALSE	TRUE	Guildford	101.13
32	Dave 32	23/08/2021	FALSE	TRUE	FALSE	TRUE	FALSE	Hindhead	104.46
33	Dave 33	24/08/2021	TRUE	FALSE	TRUE	FALSE	TRUE	Guildford	107.79
34	Dave 34	25/08/2021	FALSE	TRUE	FALSE	TRUE	FALSE	Hindhead	111.12
35	Dave 35	26/08/2021	TRUE	FALSE	TRUE	FALSE	TRUE	Guildford	114.45
36	Dave 36	27/08/2021	FALSE	TRUE	FALSE	TRUE	FALSE	Hindhead	117.78
37	Dave 37	28/08/2021	TRUE	FALSE	TRUE	FALSE	TRUE	Guildford	121.11
38	Dave 38	29/08/2021	FALSE	TRUE	FALSE	TRUE	FALSE	Hindhead	124.44
39	Dave 39	30/08/2021	TRUE	FALSE	TRUE	FALSE	TRUE	Guildford	127.77
40	Dave 40	31/08/2021	FALSE	TRUE	FALSE	TRUE	FALSE	Hindhead	131.1
41	Dave 41	01/09/2021	TRUE	FALSE	TRUE	FALSE	TRUE	Guildford	134.43
42	Dave 42	02/09/2021	FALSE	TRUE	FALSE	TRUE	FALSE	Hindhead	137.76
43	Dave 43	03/09/2021	TRUE	FALSE	TRUE	FALSE	TRUE	Guildford	141.09
44	Dave 44	04/09/2021	FALSE	TRUE	FALSE	TRUE	FALSE	Hindhead	144.42
45	Dave 45	05/09/2021	TRUE	FALSE	TRUE	FALSE	TRUE	Guildford	147.75
46	Dave 46	06/09/2021	FALSE	TRUE	FALSE	TRUE	FALSE	Hindhead	151.08
47	Dave 47	07/09/2021	TRUE	FALSE	TRUE	FALSE	TRUE	Guildford	154.41
48	Dave 48	08/09/2021	FALSE	TRUE	FALSE	TRUE	FALSE	Hindhead	157.74
49	Dave 49	09/09/2021	TRUE	FALSE	TRUE	FALSE	TRUE	Guildford	161.07
50	Dave 50	10/09/2021	FALSE	TRUE	FALSE	TRUE	FALSE	Hindhead	164.4
51	Dave 51	11/09/2021	TRUE	FALSE	TRUE	FALSE	TRUE	Guildford	167.73
52	Dave 52	12/09/2021	FALSE	TRUE	FALSE	TRUE	FALSE	Hindhead	171.06
53	Dave 53	13/09/2021	TRUE	FALSE	TRUE	FALSE	TRUE	Guildford	174.39
54	Dave 54	14/09/2021	FALSE	TRUE	FALSE	TRUE	FALSE	Hindhead	177.72
55	Dave 55	15/09/2021	TRUE	FALSE	TRUE	FALSE	TRUE	Guildford	181.05
56	Dave 56	16/09/2021	FALSE	TRUE	FALSE	TRUE	FALSE	Hindhead	184.38
57	Dave 57	17/09/2021	TRUE	FALSE	TRUE	FALSE	TRUE	Guildford	187.71
58	Dave 58	18/09/2021	FALSE	TRUE	FALSE	TRUE	FALSE	Hindhead	191.04
59	Dave 59	19/09/2021	TRUE	FALSE	TRUE	FALSE	TRUE	Guildford	194.37
60	Dave 60	20/09/2021	FALSE	TRUE	FALSE	TRUE	FALSE	Hindhead	197.7
61	Dave 61	21/09/2021	TRUE	FALSE	TRUE	FALSE	TRUE	Guildford	201.03
62	Dave 62	22/09/2021	FALSE	TRUE	FALSE	TRUE	FALSE	Hindhead	204.36
63	Dave 63	23/09/2021	TRUE	FALSE	TRUE	FALSE	TRUE	Guildford	207.69
64	Dave 64	24/09/2021	FALSE	TRUE	FALSE	TRUE	FALSE	Hindhead	211.02
65	Dave 65	25/09/2021	TRUE	FALSE	TRUE	FALSE	TRUE	Guildford	214.35
66	Dave 66	26/09/2021	FALSE	TRUE	FALSE	TRUE	FALSE	Hindhead	217.68
67	Dave 67	27/09/2021	TRUE	FALSE	TRUE	FALSE	TRUE	Guildford	221.01
68	Dave 68	28/09/2021	FALSE	TRUE	FALSE	TRUE	FALSE	Hindhead	224.34
69	Dave 69	29/09/2021	TRUE	FALSE	TRUE	FALSE	TRUE	Guildford	227.67
70	Dave 70	30/09/2021	FALSE	TRUE	FALSE	TRUE	FALSE	Hindhead	231
71	Dave 71	01/10/2021	TRUE	FALSE	TRUE	FALSE	TRUE	Guildford	234.33
72	Dave 72	02/10/2021	FALSE	TRUE	FALSE	TRUE	FALSE	Hindhead	237.66
73	Dave 73	03/10/2021	TRUE	FALSE	TRUE	FALSE	TRUE	Guildford	240.99
74	Dave 74	04/10/2021	FALSE	TRUE	FALSE	TRUE	FALSE	Hindhead	244.32
75	Dave 75	05/10/2021	TRUE	FALSE	TRUE	FALSE	TRUE	Guildford	247.65
